filename	n_seqs	n_bases	min_length	max_length	mean_quality
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_6.fastq.gz	4000	1360525	135	1347	10.83
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_7.fastq.gz	4000	1355559	132	974	10.84
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_3.fastq.gz	4000	1353616	134	1014	10.74
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_4.fastq.gz	4000	1355101	140	948	10.79
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/460057_barcode66/FAO12621_pass_barcode66_1505ef04_5.fastq.gz	4000	1357108	128	941	10.79
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_1.fastq.gz	4000	1361334	129	7588	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_3.fastq.gz	4000	1362740	144	805	10.87
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_5.fastq.gz	4000	1347890	144	1511	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_0.fastq.gz	4000	1349645	138	1024	11.10
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_6.fastq.gz	4000	1341484	133	829	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_4.fastq.gz	4000	1356569	145	972	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_2.fastq.gz	4000	1358612	143	5992	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5429269_barcode09/FAO12621_pass_barcode09_1505ef04_7.fastq.gz	4000	1363203	134	913	10.96
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/0059999_barcode43/FAO12621_pass_barcode43_1505ef04_0.fastq.gz	4000	1349632	140	870	11.12
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/0059999_barcode43/FAO12621_pass_barcode43_1505ef04_5.fastq.gz	4000	1358545	114	2058	10.99
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/0059999_barcode43/FAO12621_pass_barcode43_1505ef04_1.fastq.gz	4000	1356351	127	1546	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/0059999_barcode43/FAO12621_pass_barcode43_1505ef04_3.fastq.gz	4000	1359386	123	1061	11.01
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/0059999_barcode43/FAO12621_pass_barcode43_1505ef04_4.fastq.gz	4000	1357625	124	1515	10.99
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/0059999_barcode43/FAO12621_pass_barcode43_1505ef04_2.fastq.gz	4000	1358553	128	7029	10.88
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_6.fastq.gz	4000	1343910	138	1009	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_2.fastq.gz	4000	1362647	136	1403	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_4.fastq.gz	4000	1352006	146	916	10.91
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_1.fastq.gz	4000	1352166	145	3246	10.97
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_3.fastq.gz	4000	1361624	138	1498	10.89
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_7.fastq.gz	4000	1362111	137	977	11.01
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_5.fastq.gz	4000	1360335	128	1157	10.94
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/671993_barcode46/FAO12621_pass_barcode46_1505ef04_0.fastq.gz	4000	1359582	126	1031	11.15
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_0.fastq.gz	4000	1345089	127	1674	11.08
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_6.fastq.gz	4000	1359424	135	1391	10.97
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_2.fastq.gz	4000	1363735	120	2131	10.86
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_3.fastq.gz	4000	1352186	136	1230	10.87
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_1.fastq.gz	4000	1356913	126	2847	10.95
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_4.fastq.gz	4000	1353739	128	1159	10.92
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/5093763_barcode60/FAO12621_pass_barcode60_1505ef04_5.fastq.gz	4000	1367606	125	1011	10.90
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_5.fastq.gz	4000	1475554	127	3298	10.95
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_0.fastq.gz	4000	1456778	128	6752	11.11
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_4.fastq.gz	4000	1456818	127	2330	10.95
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_6.fastq.gz	4000	1452699	131	2599	11.01
/ibex/scratch/satyamr/COVID_project/KFSHRC_3rd_Batch_fastq_files/fastq_pass/213911_barcode22/FAO12621_pass_barcode22_1505ef04_1.fastq.gz	4000	1465753	132	3644	11.00
